true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,12.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
1,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,12.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
2,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,12.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
3,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,12.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
4,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,12.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
5,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,12.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
6,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,12.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
7,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,12.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
8,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,12.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
9,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,12.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
