Dataset,Corruption,Severity,Accuracy
CTSD,gaussian_noise,1,1.0
CTSD,gaussian_noise,2,0.9991889699918897
CTSD,gaussian_noise,3,1.0
CTSD,gaussian_noise,4,0.9991889699918897
CTSD,gaussian_noise,5,0.9983779399837794
CTSD,shot_noise,1,1.0
CTSD,shot_noise,2,1.0
CTSD,shot_noise,3,0.9983779399837794
CTSD,shot_noise,4,0.9959448499594485
CTSD,shot_noise,5,0.9878345498783455
CTSD,impulse_noise,1,0.9991889699918897
CTSD,impulse_noise,2,0.9983779399837794
CTSD,impulse_noise,3,0.9959448499594485
CTSD,impulse_noise,4,0.9927007299270073
CTSD,impulse_noise,5,0.9699918896999189
CTSD,defocus_blur,1,1.0
CTSD,defocus_blur,2,1.0
CTSD,defocus_blur,3,0.9983779399837794
CTSD,defocus_blur,4,0.9967558799675588
CTSD,defocus_blur,5,0.9894566098945661
CTSD,glass_blur,1,0.9991889699918897
CTSD,glass_blur,2,0.9902676399026764
CTSD,glass_blur,3,0.9545823195458232
CTSD,glass_blur,4,0.9732360097323601
CTSD,glass_blur,5,0.9124087591240876
CTSD,motion_blur,1,1.0
CTSD,motion_blur,2,0.9991889699918897
CTSD,motion_blur,3,0.9967558799675588
CTSD,motion_blur,4,0.9935117599351176
CTSD,motion_blur,5,0.9845904298459043
CTSD,zoom_blur,1,1.0
CTSD,zoom_blur,2,1.0
CTSD,zoom_blur,3,0.9959448499594485
CTSD,zoom_blur,4,0.9951338199513382
CTSD,zoom_blur,5,0.9935117599351176
CTSD,snow,1,1.0
CTSD,snow,2,1.0
CTSD,snow,3,1.0
CTSD,snow,4,0.9878345498783455
CTSD,snow,5,0.9172749391727494
CTSD,frost,1,1.0
CTSD,frost,2,1.0
CTSD,frost,3,0.9991889699918897
CTSD,frost,4,0.9975669099756691
CTSD,frost,5,0.9951338199513382
CTSD,fog,1,0.9991889699918897
CTSD,fog,2,0.9975669099756691
CTSD,fog,3,0.991889699918897
CTSD,fog,4,0.9781021897810219
CTSD,fog,5,0.9618815896188159
CTSD,brightness,1,1.0
CTSD,brightness,2,1.0
CTSD,brightness,3,1.0
CTSD,brightness,4,1.0
CTSD,brightness,5,1.0
CTSD,contrast,1,0.9959448499594485
CTSD,contrast,2,0.9935117599351176
CTSD,contrast,3,0.9886455798864558
CTSD,contrast,4,0.9635036496350365
CTSD,contrast,5,0.8231954582319546
CTSD,elastic_transform,1,0.9967558799675588
CTSD,elastic_transform,2,0.9927007299270073
CTSD,elastic_transform,3,0.9967558799675588
CTSD,elastic_transform,4,0.9935117599351176
CTSD,elastic_transform,5,0.9959448499594485
CTSD,pixelate,1,0.9991889699918897
CTSD,pixelate,2,1.0
CTSD,pixelate,3,1.0
CTSD,pixelate,4,0.9951338199513382
CTSD,pixelate,5,0.9781021897810219
GTSRB,gaussian_noise,1,0.972763262074426
GTSRB,gaussian_noise,2,0.9608867775138559
GTSRB,gaussian_noise,3,0.9489311163895487
GTSRB,gaussian_noise,4,0.9380047505938243
GTSRB,gaussian_noise,5,0.9315122723673792
GTSRB,shot_noise,1,0.965716547901821
GTSRB,shot_noise,2,0.9419635787806809
GTSRB,shot_noise,3,0.9068091844813935
GTSRB,shot_noise,4,0.8262866191607284
GTSRB,shot_noise,5,0.7542359461599366
GTSRB,impulse_noise,1,0.9585114806017418
GTSRB,impulse_noise,2,0.9242280285035629
GTSRB,impulse_noise,3,0.8938242280285036
GTSRB,impulse_noise,4,0.8023752969121141
GTSRB,impulse_noise,5,0.7051464766429137
GTSRB,defocus_blur,1,0.9814726840855107
GTSRB,defocus_blur,2,0.9704671417260491
GTSRB,defocus_blur,3,0.9433095803642122
GTSRB,defocus_blur,4,0.9086302454473476
GTSRB,defocus_blur,5,0.8600950118764845
GTSRB,glass_blur,1,0.8910530482977039
GTSRB,glass_blur,2,0.7870942201108472
GTSRB,glass_blur,3,0.6600950118764846
GTSRB,glass_blur,4,0.7121931908155186
GTSRB,glass_blur,5,0.5682501979414093
GTSRB,motion_blur,1,0.9776722090261283
GTSRB,motion_blur,2,0.9658749010292953
GTSRB,motion_blur,3,0.9462391132224861
GTSRB,motion_blur,4,0.9237529691211401
GTSRB,motion_blur,5,0.892874109263658
GTSRB,zoom_blur,1,0.9837688044338876
GTSRB,zoom_blur,2,0.9842438638163103
GTSRB,zoom_blur,3,0.9843230403800475
GTSRB,zoom_blur,4,0.981631037212985
GTSRB,zoom_blur,5,0.9806809184481393
GTSRB,snow,1,0.9835312747426762
GTSRB,snow,2,0.982818685669042
GTSRB,snow,3,0.9768804433887569
GTSRB,snow,4,0.8726049089469518
GTSRB,snow,5,0.601187648456057
GTSRB,frost,1,0.9831353919239905
GTSRB,frost,2,0.9786223277909739
GTSRB,frost,3,0.9705463182897862
GTSRB,frost,4,0.953285827395091
GTSRB,frost,5,0.9249406175771971
GTSRB,fog,1,0.9782264449722882
GTSRB,fog,2,0.9723673792557403
GTSRB,fog,3,0.960332541567696
GTSRB,fog,4,0.9418052256532067
GTSRB,fog,5,0.9066508313539192
GTSRB,brightness,1,0.9827395091053048
GTSRB,brightness,2,0.9818685669041963
GTSRB,brightness,3,0.9800475059382423
GTSRB,brightness,4,0.9771179730799683
GTSRB,brightness,5,0.972763262074426
GTSRB,contrast,1,0.9806017418844022
GTSRB,contrast,2,0.9772763262074426
GTSRB,contrast,3,0.972763262074426
GTSRB,contrast,4,0.9610451306413301
GTSRB,contrast,5,0.9082343626286619
GTSRB,elastic_transform,1,0.9481393507521774
GTSRB,elastic_transform,2,0.913618368962787
GTSRB,elastic_transform,3,0.931908155186065
GTSRB,elastic_transform,4,0.9106096595407759
GTSRB,elastic_transform,5,0.9231987331749802
GTSRB,pixelate,1,0.9783847980997624
GTSRB,pixelate,2,0.9698337292161521
GTSRB,pixelate,3,0.9330166270783848
GTSRB,pixelate,4,0.8736342042755344
GTSRB,pixelate,5,0.7410134600158353
BTSD,gaussian_noise,1,0.9163378058405682
BTSD,gaussian_noise,2,0.915153906866614
BTSD,gaussian_noise,3,0.9123914759273876
BTSD,gaussian_noise,4,0.9112075769534334
BTSD,gaussian_noise,5,0.909629044988161
BTSD,shot_noise,1,0.9159431728492502
BTSD,shot_noise,2,0.9100236779794791
BTSD,shot_noise,3,0.9001578531965272
BTSD,shot_noise,4,0.8764798737174427
BTSD,shot_noise,5,0.840568271507498
BTSD,impulse_noise,1,0.9100236779794791
BTSD,impulse_noise,2,0.9033149171270718
BTSD,impulse_noise,3,0.8993685872138911
BTSD,impulse_noise,4,0.8800315706393055
BTSD,impulse_noise,5,0.8535911602209945
BTSD,defocus_blur,1,0.9167324388318864
BTSD,defocus_blur,2,0.9127861089187056
BTSD,defocus_blur,3,0.9021310181531176
BTSD,defocus_blur,4,0.8713496448303079
BTSD,defocus_blur,5,0.8421468034727704
BTSD,glass_blur,1,0.904498816101026
BTSD,glass_blur,2,0.8752959747434885
BTSD,glass_blur,3,0.8385951065509076
BTSD,glass_blur,4,0.8417521704814522
BTSD,glass_blur,5,0.7576953433307024
BTSD,motion_blur,1,0.914759273875296
BTSD,motion_blur,2,0.9060773480662984
BTSD,motion_blur,3,0.8871349644830308
BTSD,motion_blur,4,0.8622730860299921
BTSD,motion_blur,5,0.8322809786898184
BTSD,zoom_blur,1,0.9135753749013418
BTSD,zoom_blur,2,0.9139700078926598
BTSD,zoom_blur,3,0.9076558800315706
BTSD,zoom_blur,4,0.9017363851617995
BTSD,zoom_blur,5,0.89344909234412
BTSD,snow,1,0.9179163378058406
BTSD,snow,2,0.9175217048145224
BTSD,snow,3,0.9175217048145224
BTSD,snow,4,0.8843725335438043
BTSD,snow,5,0.7722967640094712
BTSD,frost,1,0.9171270718232044
BTSD,frost,2,0.9167324388318864
BTSD,frost,3,0.9108129439621152
BTSD,frost,4,0.9033149171270718
BTSD,frost,5,0.8823993685872139
BTSD,fog,1,0.9112075769534334
BTSD,fog,2,0.8958168902920284
BTSD,fog,3,0.8685872138910813
BTSD,fog,4,0.8291239147592738
BTSD,fog,5,0.7434885556432518
BTSD,brightness,1,0.9187056037884768
BTSD,brightness,2,0.9191002367797948
BTSD,brightness,3,0.9194948697711128
BTSD,brightness,4,0.9183109707971586
BTSD,brightness,5,0.9175217048145224
BTSD,contrast,1,0.8997632202052092
BTSD,contrast,2,0.8827940015785319
BTSD,contrast,3,0.8425414364640884
BTSD,contrast,4,0.771112865035517
BTSD,contrast,5,0.6148382004735596
BTSD,elastic_transform,1,0.9072612470402526
BTSD,elastic_transform,2,0.8981846882399369
BTSD,elastic_transform,3,0.9001578531965272
BTSD,elastic_transform,4,0.8942383583267561
BTSD,elastic_transform,5,0.8973954222573007
BTSD,pixelate,1,0.9155485398579322
BTSD,pixelate,2,0.915153906866614
BTSD,pixelate,3,0.909629044988161
BTSD,pixelate,4,0.9021310181531176
BTSD,pixelate,5,0.8476716653512234
